campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,clicks,ctr,cpc,cpm,frequency,inline_link_clicks,actions.link_click,actions.page_engagement,actions.post_engagement,actions.video_view,publisher_platform,platform_position,actions.onsite_conversion.messaging_block,actions.onsite_conversion.post_unlike,actions.post_interaction_gross,actions.post_interaction_net,actions.post,actions.onsite_conversion.post_save,actions.onsite_conversion.post_net_save,actions.onsite_conversion.post_net_like,actions.post_reaction,actions.omni_search,actions.offsite_conversion.fb_pixel_search,actions.landing_page_view,actions.add_to_cart,actions.omni_landing_page_view,actions.onsite_web_view_content,actions.onsite_web_add_to_cart,actions.onsite_web_app_view_content,actions.view_content,actions.onsite_web_app_add_to_cart,actions.offsite_search_add_meta_leads,actions.omni_add_to_cart,actions.offsite_content_view_add_meta_leads,actions.onsite_conversion.messaging_conversation_started_7d,actions.search,actions.omni_view_content,actions.offsite_conversion.fb_pixel_view_content,actions.offsite_conversion.fb_pixel_add_to_cart,action_values.onsite_web_app_add_to_cart,action_values.offsite_conversion.fb_pixel_view_content,action_values.omni_view_content,action_values.add_to_cart,action_values.offsite_conversion.fb_pixel_add_to_cart,action_values.view_content,action_values.onsite_web_view_content,action_values.onsite_web_app_view_content,action_values.omni_add_to_cart,action_values.onsite_web_add_to_cart,actions.onsite_conversion.post_unsave,actions.web_in_store_purchase,actions.omni_purchase,actions.omni_initiated_checkout,actions.purchase,actions.offsite_conversion.fb_pixel_add_payment_info,actions.onsite_web_app_purchase,actions.offsite_conversion.fb_pixel_purchase,actions.web_app_in_store_purchase,actions.onsite_web_initiate_checkout,actions.onsite_web_purchase,actions.add_payment_info,actions.offsite_conversion.fb_pixel_initiate_checkout,actions.initiate_checkout,action_values.onsite_web_app_purchase,action_values.onsite_web_initiate_checkout,action_values.add_payment_info,action_values.omni_initiated_checkout,action_values.web_app_in_store_purchase,action_values.onsite_web_purchase,action_values.purchase,action_values.offsite_conversion.fb_pixel_initiate_checkout,action_values.offsite_conversion.fb_pixel_add_payment_info,action_values.offsite_conversion.fb_pixel_purchase,action_values.initiate_checkout,action_values.omni_purchase,action_values.web_in_store_purchase,actions.comment,actions.onsite_conversion.post_net_comment,actions.onsite_conversion.total_messaging_connection,actions.like,actions.onsite_conversion.messaging_user_depth_2_message_send,actions.onsite_conversion.messaging_first_reply,actions.onsite_conversion.messaging_user_depth_3_message_send,actions.onsite_conversion.messaging_user_depth_5_message_send,actions.onsite_conversion.messaging_conversation_replied_7d
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,11.590183,79,28,5,6.329114,2.318037,146.711173,2.821429,5,5,82,82,77,audience_network,rewarded_video,,,,,,,,,,,,1,,1,1,,1,1,,,,1,,,1,1,,,1890,1890,,,1890,1890,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,0,1,1,0,0,,0,1,0,,,,,facebook,biz_disco_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,4.920078,28,27,1,3.571429,4.920078,175.717055,1.037037,1,1,1,1,,facebook,facebook_notification,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,1.440023,28,26,0,0,,51.429382,1.076923,0,,4,4,4,facebook,facebook_profile_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,478.547541,4491,2126,23,0.512135,20.806415,106.557012,2.112418,16,16,458,458,437,facebook,facebook_reels,,1,5,6,,1,1,3,4,3,3,12,7,12,12,7,12,12,7,3,7,12,,3,12,12,7,9489,21199,21199,9489,9489,21199,21199,21199,9489,9489,,1,1,3,1,1,1,1,1,3,1,1,3,3,2880,7640.1,2875,7640.1,0.29,2880,2880,7640.1,2875,2880,7640.1,2880,2880,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,3.950062,112,67,1,0.892857,3.950062,35.268413,1.671642,1,1,2,2,1,facebook,facebook_reels_overlay,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,46.100727,260,206,0,0,,177.310487,1.262136,0,,20,20,20,facebook,facebook_stories,,,,,,,,,,,,,,,4,,4,4,,,,4,,,4,4,,,8480,8480,,,8480,8480,8480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,551.42869,1846,1166,25,1.35428,22.057148,298.715433,1.58319,11,11,250,250,238,facebook,feed,,,1,1,,,,1,1,1,1,7,7,7,27,7,27,27,7,1,7,27,,1,27,27,7,5970,31749,31749,5970,5970,31749,31749,31749,5970,5970,,1,1,3,1,1,1,1,1,3,1,1,3,3,1071,2911,1071,2911,0.11,1071,1071,2911,1071,1071,2911,1071,1071,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,67.831069,689,403,4,0.580552,16.957767,98.448576,1.709677,3,3,223,223,219,facebook,instream_video,,,1,1,,,,,,,,4,,4,5,,5,5,,,,5,,,5,5,,,28644.16,28644.16,,,28644.16,28644.16,28644.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,3.380053,56,34,0,0,,60.358094,1.647059,0,,23,23,23,facebook,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
